"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice","No","Yes, targets and goals"
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","As a beverage company, good quality water is of the utmost importance to ensure business continuity.",,,,"River basin","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","A number of our facilities make use of water, treated and recycled within the facility, for non-product related uses. A small number of our facilities make use of brackish water due to the unavailability of viable alternative freshwater sources.",,,,"River basin","Other: Bespoke water risk assessment process",,,,,,,,
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Agricultural products (e.g. hops and barley) comprise a significant portion of our raw material sourcing.  The security and the sustainability of our sourcing depends upon sufficient amounts of good quality freshwater for crop growth.",,,,,,,,,,,,,
"SABMiller","GB0004835483","EQ0038662800001000","SAB LN","United Kingdom","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","Our agricultural supply chain require freshwater for the production the raw material we need to produce our beer. We are not aware of any indirect use of recycled or brackish water in our supply chain.",,,,,,,,,,,,,
"Sachet",,,,"South Africa",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","No",,"No","No","No","No"
"Sachet",,,,"South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,,,,,,"Other Manager/Officer",,,,
"Sachet",,,,"South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Sachet",,,,"South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Sachet",,,,"South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France",,,,"Other","Yes","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations only","Yes",,"Yes","Other: Yes, a publicly available company-wide water policy, with performance standards for our direct operations.","Yes, not significant","Yes, targets and goals"
"SANKO SHOJI CO. LTD.",,,,"Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Have not evaluated",,,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","The water is used as a raw material in some of our processes. For instance, in the gypsum activity, the water is used in the production process of plasterboards in which the water purity is a key to have a good quality product at the end.
Moreover an access to a good quality freshwater, that is drinking water, is absolutely vital for our employees, directly link with the success and the sustainability of our direct operations.
",,,,"Facility","Life Cycle Assessment",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Cooling water is vital for our business and the sustainability of our activities and represents the major use of water. Both the fat glass and the Pipe activities need furnaces at very hot temperature and so sufficient amounts of accessible water to cool them. If the water is no longer available, the equipment could be damaged and the activity interrupted. That’s why the recycled water used through our own operations is very encouraged, particularly for this kind of use.",,,,,"Internal company knowledge",,,,,,,,
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,"Other: Water grid",,,,,,,,
"Saint-Gobain","FR0000125007","EQ0011530400001000","SGO FP","France","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"Sappi","ZAE000006284","EQ0011221200001002","SAP SJ","South Africa",,,,,,,,,,,,,,,,
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea",,,,"Not evaluated","Yes","Water risk assessments undertaken independently of other risk assessments incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations only","Yes",,"Yes","Yes, a water policy for select facilities only","No","Yes, goals only"
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral",,,,,"Facility","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,,,,,,,,,,
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Samsung Engineering","KR7028050003","EQ0019397300001000","028050 KS","South Korea","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Sanden",,,,"Japan",,,,"Not evaluated","No","Water risk assessments undertaken independently of other risk assessments incorporating both direct operations and supply chain",,,"No","No","No",,"No","Yes, a company-wide water policy","No","Yes, targets only"
"Sanden",,,,"Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Freshwater is used for painting and washing.",,,,"Region","PwC ESCHER tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Sanden",,,,"Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Not necessary to use such water.",,,,,,,,,,,,,
"Sanden",,,,"Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","We need materials such as articles of iron or steel and chemical products.
Fresh water is necessary in the value chain of such industries.",,,,,,,,,,,,,
"Sanden",,,,"Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important","Not necessary to use such water.",,,,,,,,,,,,,
"Sanifoam",,,,"Turkey",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets only"
"Sanifoam",,,,"Turkey","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral",,,,,"Country","Regional government databases",,,,"Other:",,,,
"Sanifoam",,,,"Turkey","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,,,,,,,,,,
"Sanifoam",,,,"Turkey","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Sanifoam",,,,"Turkey","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"SANKO SHOJI CO. LTD.",,,,"Japan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","Don't know",,"No","No","No","No"
